righttrack,thermom,economy,race,income,gopdislike,betteroff,willbetteroff,gwbangry,libcon,econnextyear,partyid,bushiraq,rtaxcuts,morals,edulevel
1,85,1,40,11,0,2,3,,5,2,1,5,,1,3
5,100,2,50,18,0,2,3,,5,2,1,1,2,4,5
1,100,2,50,20,0,3,3,,5,3,4,2,1,3,7
1,85,3,50,17,1,3,3,,5,2,6,1,1,4,7
5,15,5,50,14,3,5,3,1,1,5,0,5,5,5,3
5,0,5,70,23,1,4,2,2,,3,0,5,,,5
1,85,2,50,19,1,3,1,,5,3,6,1,,4,3
5,85,3,50,23,0,4,3,,5,2,6,1,1,4,3
5,70,4,50,23,3,5,5,3,5,3,2,5,2,3,2
5,30,3,50,23,0,3,3,1,1,3,2,5,5,3,7
5,60,3,40,5,0,2,1,3,5,3,3,5,,,3
5,15,3,10,15,0,3,3,3,5,2,2,5,5,3,3
5,0,4,10,19,2,2,3,2,1,3,0,5,5,4,7
5,0,4,10,13,0,2,2,1,5,4,0,5,5,5,4
1,85,3,50,1,0,5,1,3,5,3,2,1,2,3,6
5,15,5,10,14,4,4,3,1,5,2,0,5,5,1,4
1,30,3,70,17,3,4,3,1,3,2,2,5,2,4,6
5,70,2,20,,0,2,3,,5,2,6,2,,5,4
5,40,3,50,,0,3,3,1,1,,2,,5,5,3
5,0,4,40,5,0,5,3,1,5,3,3,5,,2,4
5,40,4,50,5,2,3,3,,5,2,0,5,5,5,3
1,100,2,50,23,0,1,2,,5,2,6,2,1,3,7
1,100,2,50,19,0,2,3,,1,3,5,1,2,3,3
5,0,5,40,15,1,5,3,1,5,5,0,5,5,4,6
5,0,4,15,11,0,4,2,2,1,2,0,5,,4,4
1,70,3,50,20,0,2,3,,5,2,5,2,,3,4
5,70,4,50,23,2,1,2,3,5,3,4,2,,1,4
5,40,4,50,21,4,2,3,3,5,5,0,5,,2,5
5,0,4,50,23,4,4,3,1,1,4,1,5,5,5,7
5,90,3,50,,,2,1,,5,2,4,1,,5,3
1,100,4,10,17,2,2,2,,5,3,4,2,,5,3
5,50,5,50,,0,1,2,3,3,3,1,5,,4,5
1,70,1,50,16,0,2,3,,5,2,6,2,2,3,4
5,0,3,50,21,5,3,3,1,1,3,0,5,5,3,7
1,85,3,30,19,0,2,3,,5,3,4,4,1,3,2
5,100,3,50,,0,3,3,,5,2,4,5,1,4,3
5,50,2,50,20,2,3,3,4,5,3,5,5,1,3,6
1,100,1,50,10,1,2,2,4,,3,6,1,,1,3
5,0,5,50,10,3,3,3,3,5,1,0,5,5,3,3
5,15,3,50,12,5,3,3,1,1,4,0,5,4,3,4
5,50,5,50,9,2,3,3,3,,2,0,2,5,,3
5,0,4,50,12,3,2,1,2,1,4,1,5,,5,7
5,70,4,50,23,1,4,2,2,5,3,2,5,5,3,6
5,50,4,50,16,4,4,3,1,1,3,2,5,5,3,3
1,100,2,50,21,1,2,3,,5,1,6,1,1,4,7
5,70,4,50,1,3,2,3,3,1,3,1,1,2,4,3
5,100,2,50,18,1,1,2,,5,2,6,1,1,2,5
5,0,2,50,15,4,2,3,1,1,4,2,5,5,3,3
1,85,2,50,16,0,2,2,,5,,6,1,1,3,4
1,60,3,50,16,0,5,3,1,5,1,6,5,1,3,3
5,30,4,50,10,0,4,4,3,1,2,2,5,,4,4
1,100,3,50,18,1,2,3,,5,3,6,1,,2,6
1,50,4,40,4,0,4,3,3,1,3,2,2,,4,4
1,30,3,50,15,0,2,3,3,1,3,0,5,5,3,6
5,0,3,50,13,5,4,3,1,1,3,0,5,5,3,5
5,30,5,50,13,0,4,5,2,,3,1,5,5,5,3
5,85,3,50,11,0,5,2,,,3,3,1,,1,3
5,30,4,50,20,5,2,3,3,1,3,0,5,5,3,6
1,85,4,50,6,0,2,3,3,5,3,3,4,,5,4
5,15,5,50,23,2,1,3,2,1,3,0,5,4,4,7
1,100,3,50,,1,2,3,,3,3,6,1,4,3,4
5,0,2,50,23,5,4,4,1,1,3,0,5,5,5,7
5,85,5,40,8,0,4,1,,5,4,1,1,1,3,2
1,85,3,50,23,0,2,3,,5,3,6,2,,4,5
5,60,3,50,,2,4,3,1,3,3,5,5,2,3,7
1,85,2,50,10,1,4,2,3,5,2,6,1,1,3,6
5,0,4,50,11,0,4,3,2,1,2,1,5,,4,2
5,0,5,10,15,5,5,2,1,1,2,0,5,,5,7
1,85,2,50,11,0,1,1,4,5,2,5,1,1,3,3
5,70,3,50,8,0,3,,3,5,5,3,5,4,3,3
1,85,3,50,19,1,2,1,3,5,2,5,5,1,4,5
5,15,4,40,21,2,2,3,1,1,3,2,5,4,4,5
5,30,3,,6,1,1,2,,5,3,0,5,,3,3
,40,4,10,,0,2,3,3,5,4,3,5,,3,2
1,85,3,50,18,1,1,3,3,5,3,5,2,,4,3
1,85,3,50,,1,3,3,3,5,1,6,4,1,5,2
1,70,3,10,,,3,3,,5,4,1,5,,4,4
5,15,3,50,,2,,3,,1,3,2,2,,3,6
5,15,5,50,15,5,4,4,1,1,3,2,5,4,3,5
5,15,5,50,4,4,3,2,1,3,3,3,5,4,5,5
1,85,3,50,22,0,1,3,,5,3,6,2,1,4,7
5,15,3,50,22,3,4,,2,1,,0,5,5,3,6
5,0,3,35,17,2,2,2,4,5,,3,5,4,5,4
5,0,4,10,20,0,4,2,3,5,1,0,5,,3,5
5,30,5,50,2,0,4,3,1,5,3,1,5,,4,2
1,85,2,50,23,0,2,2,,5,2,4,1,1,3,6
5,15,5,50,,1,3,3,1,3,3,0,5,,5,3
1,100,5,10,13,1,5,3,4,5,3,2,1,1,1,6
1,90,2,50,17,0,1,2,,5,1,5,1,1,2,2
5,70,4,50,,3,3,3,3,1,3,0,5,2,3,3
1,85,3,50,14,0,3,1,,5,2,4,1,1,3,4
5,15,3,50,23,4,2,3,2,1,3,1,5,5,3,6
1,85,1,50,22,1,3,1,,5,2,6,1,,3,6
5,40,5,40,15,0,3,3,3,3,3,3,5,,3,3
5,30,5,50,22,3,4,2,1,1,3,0,5,5,3,4
1,85,2,50,18,2,4,3,,5,2,6,1,1,2,4
5,60,4,50,13,0,3,3,,3,3,2,2,,3,4
5,40,4,50,15,0,2,3,3,1,3,2,5,1,2,4
5,50,5,50,10,2,3,4,3,1,4,0,5,,5,2
,50,2,50,23,1,3,3,2,5,4,4,2,5,4,7
1,70,2,50,,0,3,2,,5,2,3,2,,2,7
5,15,3,50,19,2,5,3,1,1,3,2,5,5,4,4
1,85,2,50,,0,3,3,,5,3,5,4,,3,4
5,70,4,50,23,0,1,1,3,1,3,2,2,,3,4
5,70,5,50,19,1,4,1,2,3,2,1,5,,1,3
5,50,2,50,21,0,2,2,2,1,1,1,2,,4,4
5,30,2,20,15,0,2,1,,5,4,1,4,,3,2
5,60,4,35,23,0,4,4,,,4,3,5,1,3,7
1,15,4,40,20,3,4,1,2,1,2,1,5,5,4,4
1,85,3,50,21,1,2,3,,5,4,5,4,,3,4
1,85,2,50,11,0,1,1,,5,1,1,2,,3,3
5,40,4,50,19,3,2,3,2,5,4,2,5,2,4,4
,30,4,20,23,4,5,,,5,3,0,5,5,3,6
5,60,5,50,,1,3,,1,5,4,1,5,,,1
5,0,5,10,9,2,5,5,1,1,4,0,5,,5,5
5,0,5,50,13,2,4,4,1,3,5,0,5,,3,4
1,90,3,50,12,0,2,2,,5,2,5,2,2,3,3
5,15,3,50,22,5,3,3,1,1,4,1,5,5,3,7
,100,4,50,,0,3,3,,5,3,6,4,,5,3
1,100,2,50,14,0,2,1,,5,1,6,1,1,3,4
5,60,4,20,23,3,4,3,,1,2,2,5,1,4,6
5,85,4,50,9,1,4,3,,5,3,5,5,1,5,5
5,100,2,50,23,2,2,2,,5,3,6,1,1,3,4
5,15,4,50,23,1,3,3,1,1,5,2,5,5,4,4
5,15,3,10,23,5,5,2,1,1,,2,5,5,4,5
5,40,5,20,10,0,3,3,2,5,2,2,5,,3,6
5,70,4,50,20,0,2,3,2,5,3,6,5,,4,4
5,70,3,10,4,1,2,3,3,1,3,2,5,1,4,3
1,70,3,50,19,1,3,2,,5,3,3,1,1,3,6
5,40,3,10,17,0,2,2,,1,1,1,5,1,3,4
1,70,3,50,,0,2,3,,3,3,5,1,,4,4
1,85,3,50,17,0,3,3,,5,2,6,2,1,3,6
1,85,2,50,18,0,2,2,4,5,2,5,1,4,3,3
1,100,3,50,15,3,4,1,,5,2,5,1,1,2,3
1,50,,10,22,1,3,3,3,1,3,1,5,,3,4
1,60,3,50,22,0,2,2,,3,2,1,5,5,4,4
5,0,5,10,1,3,5,3,,1,1,0,5,5,3,2
5,0,4,10,23,0,2,2,1,1,3,1,5,5,5,7
1,100,3,50,11,0,4,3,,1,3,1,1,,3,4
5,70,5,10,6,1,5,3,1,5,5,3,5,4,5,3
5,0,5,50,17,3,4,3,2,1,3,0,5,5,3,3
5,60,3,50,12,2,2,3,,5,2,4,2,,5,6
5,60,3,50,,2,1,1,4,5,2,3,4,1,3,7
