cod_comuna,ano,homicidios_total,homicidios_jovenes
80,2016,15,8
80,2017,17,7
80,2018,15,10
90,2003,10,7
90,2004,1,NA
90,2005,7,6
90,2006,1,NA
90,2008,1,1
90,2009,7,4
90,2010,9,3
90,2011,21,11
90,2012,18,8
90,2013,11,5
90,2014,9,4
90,2015,3,NA
90,2016,3,1
90,2017,2,2
NA,2003,383,235
NA,2004,160,87
NA,2005,120,60
NA,2006,56,22
NA,2007,68,30
NA,2008,92,37
NA,2009,91,53
NA,2010,63,38
NA,2011,11,5
NA,2012,4,2
NA,2013,6,3
